Athlete,MileMinDur
0,0:06:21
0,0:07:00
0,0:12:44
1,0:06:25
1,0:07:24
1,0:05:47
1,0:05:40
1,0:06:51
1,0:06:37
0,0:09:22
1,0:06:36
1,0:06:17
0,0:09:05
0,0:10:26
0,0:08:19
0,0:06:46
1,0:06:53
0,0:08:14
1,0:06:11
0,0:08:17
1,0:06:34
0,0:08:29
0,0:07:47
0,0:07:37
1,0:05:19
1,0:07:34
0,0:07:06
1,0:07:28
0,0:05:55
0,0:06:03
1,0:05:21
0,0:12:17
1,0:06:40
0,0:07:28
1,0:05:36
0,0:08:19
1,0:06:03
0,0:05:37
0,0:09:05
0,0:11:22
1,0:08:08
1,0:08:16
0,0:06:51
1,0:05:50
1,0:06:07
0,0:09:06
0,0:09:21
0,0:06:09
1,0:08:19
0,0:09:32
1,0:06:01
0,0:10:40
1,0:08:28
1,0:06:28
0,0:13:14
1,0:06:00
0,0:07:34
0,0:07:03
0,0:08:10
0,0:09:49
0,0:08:58
0,0:08:19
1,0:05:16
1,0:06:46
0,0:12:40
1,0:07:29
1,0:06:54
0,0:09:18
1,0:06:23
0,0:09:59
1,0:07:09
0,0:09:09
0,0:09:49
1,0:06:43
1,0:05:38
1,0:06:13
0,0:10:19
0,0:12:33
0,0:09:09
0,0:11:47
0,0:10:59
0,0:07:13
0,0:07:11
1,0:07:08
0,0:09:13
1,0:06:48
0,0:08:45
1,0:05:32
1,0:06:42
1,0:07:28
0,0:08:54
0,0:09:36
1,0:07:24
0,0:08:40
1,0:05:54
0,0:07:35
0,0:09:02
1,0:07:36
1,0:06:29
1,0:08:36
1,0:06:44
0,0:10:38
0,0:09:45
1,0:06:39
0,0:07:23
0,0:07:44
0,0:10:11
0,0:05:05
1,0:06:40
1,0:07:22
0,0:07:40
0,0:06:55
1,0:07:30
1,0:08:50
0,0:08:33
1,0:06:33
0,0:10:13
0,0:11:05
0,0:11:18
1,0:07:02
1,0:06:57
1,0:06:55
1,0:06:54
0,0:08:10
0,0:06:10
0,0:06:20
1,0:06:24
0,0:09:47
0,0:05:33
0,0:06:27
1,0:07:34
1,0:08:34
0,0:08:35
0,0:08:49
0,0:08:18
0,0:06:00
0,0:07:11
0,0:13:35
0,0:08:38
1,0:06:39
0,0:08:31
1,0:06:27
0,0:10:36
0,0:07:55
1,0:06:59
1,0:07:58
0,0:10:14
1,0:06:31
1,0:07:01
1,0:07:55
1,0:07:41
0,0:11:59
0,0:08:31
0,0:08:44
1,0:08:06
0,0:09:23
0,0:09:23
0,0:10:49
1,0:06:22
0,0:11:57
0,0:06:47
1,0:07:50
0,0:09:32
0,0:11:24
0,0:10:17
0,0:10:03
1,0:06:08
1,0:06:05
1,0:06:16
0,0:09:17
1,0:05:49
0,0:11:05
0,0:07:59
1,0:05:48
0,0:09:25
1,0:07:24
1,0:06:27
1,0:07:00
0,0:08:35
1,0:07:01
1,0:07:17
0,0:10:53
0,0:12:53
1,0:06:19
0,0:07:15
0,0:11:46
1,0:07:01
0,0:12:21
0,0:07:58
0,0:12:56
0,0:10:08
1,0:06:53
0,0:06:52
1,0:07:06
0,0:11:24
0,0:10:44
1,0:06:36
1,0:06:27
0,0:07:14
1,0:05:45
0,0:11:33
1,0:06:26
0,0:05:32
0,0:11:41
1,0:06:39
1,0:06:28
0,0:05:14
0,0:07:47
0,0:10:13
1,0:07:31
0,0:13:41
1,0:07:00
0,0:06:19
1,0:06:44
0,0:05:38
1,0:05:01
1,0:05:57
0,0:08:17
0,0:08:43
1,0:07:02
0,0:08:58
0,0:06:56
0,0:11:25
0,0:10:25
1,0:08:07
0,0:05:32
0,0:09:50
0,0:08:55
0,0:09:16
0,0:11:46
1,0:07:23
0,0:09:57
1,0:06:25
0,0:07:29
0,0:12:06
0,0:13:01
1,0:05:51
1,0:07:34
1,0:05:26
0,0:10:07
0,0:11:58
0,0:07:39
0,0:07:14
1,0:06:37
0,0:11:02
1,0:06:42
1,0:05:03
1,0:08:22
1,0:06:37
1,0:07:18
1,0:07:15
0,0:09:52
0,0:11:35
0,0:05:07
1,0:07:55
0,0:10:43
0,0:07:41
1,0:06:17
1,0:06:27
1,0:06:13
0,0:06:04
1,0:06:28
1,0:07:34
0,0:11:07
1,0:06:47
0,0:07:32
0,0:10:44
1,0:06:57
0,0:09:56
1,0:07:42
0,0:10:42
0,0:08:26
0,0:06:16
1,0:07:11
0,0:12:31
1,0:06:48
0,0:09:09
0,0:10:43
1,0:07:01
0,0:07:57
0,0:09:27
1,0:06:42
0,0:08:40
0,0:09:20
0,0:08:06
1,0:07:40
0,0:06:24
0,0:10:02
0,0:08:57
0,0:10:28
0,0:08:18
0,0:10:33
1,0:05:18
0,0:05:57
0,0:10:38
0,0:08:59
0,0:08:13
1,0:07:15
1,0:06:40
1,0:07:11
1,0:06:01
0,0:08:07
1,0:08:41
0,0:06:44
0,0:07:57
0,0:08:40
1,0:07:58
1,0:07:48
0,0:09:53
1,0:08:12
0,0:07:49
0,0:08:36
0,0:07:38
1,0:06:16
1,0:07:44
0,0:05:59
0,0:09:13
0,0:06:39
0,0:09:41
0,0:06:55
0,0:12:39
0,0:07:32
0,0:10:28
1,0:06:34
1,0:06:39
0,0:05:14
0,0:10:21
0,0:10:17
0,0:07:56
0,0:07:26
1,0:05:18
0,0:05:07
0,0:12:17
1,0:07:26
1,0:05:51
1,0:07:17
0,0:07:22
1,0:06:03
1,0:05:29
0,0:09:25
1,0:06:19
1,0:06:27
1,0:07:44
0,0:06:14
0,0:09:44
0,0:10:26
1,0:06:45
1,0:06:20
1,0:07:17
0,0:06:25
0,0:08:15
1,0:07:54
0,0:09:01
0,0:08:17
0,0:11:25
0,0:10:15
1,0:07:26
1,0:06:20
0,0:13:39
0,0:10:40
0,0:08:07
0,0:10:59
1,0:06:44
1,0:06:52
0,0:10:08
1,0:06:53
1,0:06:10
0,0:13:40
1,0:07:08
0,0:11:38
0,0:06:45
0,0:14:02
0,0:09:17
1,0:07:58
0,0:09:05
1,0:08:56
0,0:09:01
1,0:08:11
0,0:09:04
0,0:06:12
1,0:07:19
0,0:07:45
1,0:07:29
0,0:09:28
1,0:05:35
1,0:07:11
0,0:11:35
0,0:10:59
0,0:12:55
0,0:08:33
1,0:08:26
1,0:07:13
